ID	Log2FoldChange	PValue
ENSG00000116675	-2.11	2.96E-05
ENSG00000143322	-0.53	3E-05
ENSG00000181852	-0.51	3E-05
ENSG00000153006	-0.47	3.02E-05
ENSG00000099194	1.99	3.11E-05
ENSG00000106333	0.62	3.2E-05
ENSG00000101955	-0.93	3.23E-05
ENSG00000115884	0.84	3.24E-05
ENSG00000131236	-0.52	3.26E-05
ENSG00000116194	-2.03	3.29E-05
ENSG00000274370	1.18	3.39E-05
ENSG00000206560	-0.65	3.39E-05
ENSG00000155827	0.36	3.45E-05
ENSG00000198585	-0.66	3.46E-05
ENSG00000153066	-0.53	3.48E-05
ENSG00000185222	-0.67	3.51E-05
ENSG00000159720	0.37	3.54E-05
ENSG00000143127	-3.72	3.55E-05
ENSG00000123358	-1.27	3.56E-05
ENSG00000185219	0.46	3.64E-05
ENSG00000135446	0.77	3.64E-05
ENSG00000141522	-0.45	3.71E-05
ENSG00000171862	0.38	3.78E-05
ENSG00000182580	1.45	3.86E-05
ENSG00000176531	0.84	3.91E-05
ENSG00000135048	-0.91	3.94E-05
ENSG00000162630	-2.84	4.03E-05
ENSG00000184307	-1.7	4.06E-05
ENSG00000081052	-1.98	4.07E-05
ENSG00000125965	1.29	4.07E-05
ENSG00000175538	1.2	4.17E-05
ENSG00000130224	-0.76	4.25E-05
ENSG00000143740	0.44	4.26E-05
ENSG00000103175	-1.72	4.31E-05
ENSG00000173611	0.53	4.32E-05
ENSG00000082458	0.65	4.36E-05
ENSG00000105552	-0.77	4.38E-05
ENSG00000267480	-2.4	4.43E-05
ENSG00000130766	0.92	4.46E-05
ENSG00000170485	-1.15	4.49E-05
ENSG00000121879	-0.56	4.53E-05
ENSG00000246763	1.47	4.95E-05
ENSG00000062716	-0.54	5E-05
ENSG00000183621	-0.7	5.02E-05
ENSG00000137959	-1.76	5.04E-05
ENSG00000133641	-0.6	5.2E-05
ENSG00000145687	0.7	5.24E-05
ENSG00000163719	-0.53	5.38E-05
ENSG00000163069	-0.51	5.38E-05
ENSG00000240859	-1.23	5.45E-05
ENSG00000143106	-0.47	5.53E-05
ENSG00000106571	0.51	5.87E-05
ENSG00000205659	-0.71	5.91E-05
ENSG00000176371	1.01	5.94E-05
ENSG00000253276	-1.1	6.08E-05
ENSG00000134987	0.73	6.14E-05
ENSG00000079462	0.99	6.24E-05
ENSG00000181826	-0.97	6.29E-05
ENSG00000155893	0.86	6.32E-05
ENSG00000010017	-0.74	6.41E-05
ENSG00000177575	-4.4	6.41E-05
ENSG00000129038	0.52	6.41E-05
ENSG00000155897	3.94	6.5E-05
ENSG00000176390	-0.81	6.68E-05
ENSG00000075624	-0.91	6.7E-05
ENSG00000159212	-1.05	6.81E-05
ENSG00000120942	-0.7	6.84E-05
ENSG00000178015	-2.55	7.01E-05
ENSG00000115084	-0.72	7.06E-05
ENSG00000105486	0.99	7.06E-05
ENSG00000089123	-0.72	7.07E-05
ENSG00000179300	-3.01	7.14E-05
ENSG00000126062	-0.39	7.18E-05
ENSG00000138356	-1.46	7.26E-05
ENSG00000172985	-0.89	7.32E-05
ENSG00000170802	-0.91	7.33E-05
ENSG00000151690	-1.04	7.38E-05
ENSG00000138669	1.62	7.41E-05
ENSG00000106086	-0.68	7.42E-05
ENSG00000171792	0.58	7.43E-05
ENSG00000130479	-0.52	7.48E-05
ENSG00000205352	-0.46	7.5E-05
ENSG00000068383	-1.38	7.53E-05
ENSG00000173914	0.57	7.53E-05
ENSG00000114021	-0.47	7.55E-05
ENSG00000110900	1.49	7.77E-05
ENSG00000104936	-0.81	7.77E-05
ENSG00000133216	1.74	7.82E-05
ENSG00000182809	-0.66	7.84E-05
ENSG00000169031	-2.07	7.85E-05
ENSG00000117461	1.67	7.85E-05
ENSG00000128285	5.34	7.85E-05
ENSG00000166974	0.87	7.86E-05
ENSG00000102760	-3.17	7.9E-05
ENSG00000130402	-0.81	7.9E-05
ENSG00000011566	-0.82	7.91E-05
ENSG00000187079	-0.73	8.04E-05
ENSG00000136141	0.62	8.08E-05
ENSG00000181827	0.55	8.09E-05
ENSG00000270504	-0.75	8.32E-05
ENSG00000187446	-0.46	8.41E-05
ENSG00000112715	1.18	8.51E-05
ENSG00000176225	0.68	8.59E-05
ENSG00000197121	0.6	8.65E-05
ENSG00000136238	-0.35	8.66E-05
ENSG00000211448	-1.55	8.69E-05
ENSG00000173947	1.24	8.7E-05
ENSG00000168092	-0.49	8.77E-05
ENSG00000107104	-1.22	8.89E-05
ENSG00000134046	-0.54	9.01E-05
ENSG00000151332	0.48	9.08E-05
ENSG00000177409	0.58	9.22E-05
ENSG00000085719	-0.42	9.53E-05
ENSG00000138658	0.98	9.53E-05
ENSG00000110090	-0.73	9.53E-05
ENSG00000197217	-0.59	9.61E-05
ENSG00000156239	0.73	9.81E-05
ENSG00000061273	-0.59	0.000103187
ENSG00000109775	0.49	0.000103888
ENSG00000129048	1.45	0.000104792
ENSG00000163659	-0.59	0.00010518
ENSG00000107611	1.53	0.000105404
ENSG00000085117	-1.25	0.000105404
ENSG00000155975	-0.49	0.000106696
ENSG00000211455	-0.61	0.000107841
ENSG00000064933	-0.53	0.0001097
ENSG00000134871	-0.9	0.000110172
ENSG00000124422	0.34	0.000112015
ENSG00000032742	0.65	0.000113603
ENSG00000151779	0.36	0.000116128
ENSG00000092841	-0.68	0.000117419
ENSG00000164048	0.6	0.0001184
ENSG00000139354	1.13	0.000118731
ENSG00000186918	-0.78	0.000118849
ENSG00000169926	-0.91	0.000118849
ENSG00000152518	-0.64	0.0001195
ENSG00000188176	3.08	0.00012058
ENSG00000110237	-0.39	0.000120925
ENSG00000147140	0.38	0.000121034
ENSG00000158747	-0.88	0.000123361
ENSG00000104964	-0.38	0.000123361
ENSG00000196230	1.16	0.000126328
ENSG00000176974	-0.97	0.000127328
ENSG00000154263	1.41	0.00012792
ENSG00000135472	1.64	0.000129937
ENSG00000137965	0.81	0.000130488
ENSG00000082146	-0.88	0.000130488
ENSG00000169093	-0.48	0.000130841
ENSG00000166963	0.75	0.000132358
ENSG00000143869	-1.85	0.000132385
ENSG00000167797	-0.84	0.000133448
ENSG00000233901	0.96	0.000134186
ENSG00000165495	2.46	0.000134671
ENSG00000219481	0.89	0.000136615
ENSG00000139291	-0.71	0.000139177
ENSG00000134056	-0.53	0.000139801
ENSG00000152463	-3.92	0.000140761
ENSG00000125676	-0.67	0.00014448
ENSG00000156671	-0.61	0.000145562
ENSG00000139269	1.9	0.000145562
ENSG00000166401	-0.64	0.000145998
ENSG00000135414	0.46	0.000146025
ENSG00000245812	-1.47	0.000146092
ENSG00000164292	-1.05	0.000146935
ENSG00000163431	-1.15	0.000149233
ENSG00000112290	-0.53	0.000149233
ENSG00000206527	-0.62	0.000149938
ENSG00000141458	-0.86	0.000150852
ENSG00000136379	-0.61	0.000150994
ENSG00000164171	1.03	0.000151867
ENSG00000280143	-1.87	0.000155177
ENSG00000146247	0.46	0.000158341
ENSG00000116679	0.77	0.000160698
ENSG00000185745	1.59	0.000161088
ENSG00000205581	0.57	0.000162344
ENSG00000164761	1.53	0.000165432
ENSG00000106003	2.67	0.000166969
ENSG00000163803	-1.49	0.000167288
ENSG00000196411	0.93	0.00016764
ENSG00000197586	-0.41	0.00016764
ENSG00000172296	0.82	0.000167698
ENSG00000139624	-0.48	0.000170317
ENSG00000110400	0.89	0.000172704
ENSG00000100206	-1.89	0.000173413
ENSG00000160145	1.57	0.000174015
ENSG00000197442	-0.71	0.000174313
ENSG00000070540	-0.91	0.000176656
ENSG00000130529	-0.74	0.000177197
ENSG00000016391	2.02	0.000178385
ENSG00000088766	-0.58	0.000178693
ENSG00000135749	0.6	0.000179152
ENSG00000158122	-0.85	0.000180435
ENSG00000154127	-1.13	0.00018094
ENSG00000101460	-0.58	0.000183054
ENSG00000083097	0.61	0.000185152
ENSG00000230733	-0.54	0.000185152
ENSG00000057252	-0.67	0.000188003
ENSG00000139173	0.64	0.000190961
ENSG00000101558	-0.5	0.000192752
ENSG00000105419	-0.7	0.000195021
ENSG00000187109	-0.46	0.000195618
ENSG00000161381	1.23	0.000196202
ENSG00000149212	0.54	0.000197485
ENSG00000168309	-4.73	0.000199852
ENSG00000198728	0.54	0.000206835
ENSG00000184156	-2.51	0.000207417
ENSG00000179388	1.87	0.000209846
ENSG00000171608	-0.81	0.00021536
ENSG00000074319	-0.41	0.000217356
ENSG00000124762	1.01	0.000218377
ENSG00000061337	1.01	0.000220289
ENSG00000277196	-5.32	0.000220289
ENSG00000151929	-0.41	0.000228003
ENSG00000149577	-0.76	0.000228997
ENSG00000149256	1.43	0.000235814
ENSG00000148468	0.68	0.000241443
ENSG00000146281	-0.59	0.00024184
ENSG00000154945	-0.35	0.00024184
ENSG00000203722	1.06	0.000242558
ENSG00000278727	1.82	0.000242558
ENSG00000165891	1.54	0.00024386
ENSG00000165895	1.32	0.000245175
ENSG00000177469	-0.64	0.000245924
ENSG00000179295	-0.5	0.000246026
ENSG00000119541	-0.37	0.000246026
ENSG00000147027	-1.15	0.000246621
ENSG00000100354	0.34	0.000252313
ENSG00000019991	0.97	0.000254397
ENSG00000170624	1.19	0.000254985
ENSG00000067113	0.93	0.000256123
ENSG00000074219	0.72	0.000257193
ENSG00000158813	-1.53	0.000257307
ENSG00000058085	-0.91	0.000257924
ENSG00000102996	-1.26	0.00026046
ENSG00000280551	-3.38	0.000264578
ENSG00000157216	-0.78	0.000267237
ENSG00000182670	0.54	0.000268737
ENSG00000254470	-0.74	0.000269688
ENSG00000133794	-0.72	0.000272391
ENSG00000025423	2.18	0.000276367
ENSG00000186073	0.67	0.000280208
ENSG00000184564	2.97	0.00028126
ENSG00000165801	0.89	0.000282346
ENSG00000152601	-0.87	0.000283955
ENSG00000125868	-0.92	0.000287119
ENSG00000163430	-0.92	0.000289367
ENSG00000100092	0.96	0.000289367
ENSG00000182916	0.52	0.000289367
ENSG00000198793	-0.69	0.000295685
ENSG00000129116	-0.87	0.000301933
ENSG00000170899	0.76	0.000302364
ENSG00000261801	0.68	0.000302364
ENSG00000109861	-1.01	0.000311936
ENSG00000135604	-2.52	0.000316571
ENSG00000175482	-0.69	0.000316848
ENSG00000035403	-0.84	0.000318203
ENSG00000109339	0.74	0.000319118
ENSG00000127947	-0.4	0.000322799
ENSG00000144362	-1.45	0.000326793
ENSG00000083720	-0.7	0.000326793
ENSG00000156232	-0.55	0.00033225
ENSG00000057657	-1.25	0.000333231
ENSG00000114698	-0.54	0.00033688
ENSG00000101384	0.54	0.00033688
ENSG00000173110	2.86	0.000338482
ENSG00000155324	-1.3	0.000340366
ENSG00000090861	0.59	0.000340427
ENSG00000096968	-0.82	0.000341168
ENSG00000131844	-0.45	0.000341968
ENSG00000123908	-0.68	0.000348393
ENSG00000111885	-0.82	0.000351027
ENSG00000142227	0.6	0.000353325
ENSG00000100647	-0.66	0.000355523
ENSG00000196526	0.6	0.000359016
ENSG00000177706	-0.95	0.000359016
ENSG00000137962	-1.2	0.000364064
ENSG00000145901	-0.57	0.000366152
ENSG00000019186	4.43	0.000368028
ENSG00000164402	0.35	0.000370943
ENSG00000123352	0.59	0.000371557
ENSG00000073146	0.94	0.000371557
ENSG00000135069	1.26	0.000374049
ENSG00000189320	-0.79	0.000378097
ENSG00000010256	-0.47	0.000380483
ENSG00000183723	-0.82	0.000380483
ENSG00000156804	-1.11	0.000383303
ENSG00000064687	0.81	0.000383303
ENSG00000110628	-0.71	0.000385519
ENSG00000139946	0.67	0.000385519
ENSG00000260549	-0.92	0.000385519
ENSG00000186575	-1.04	0.000394859
ENSG00000148110	-0.39	0.000402993
ENSG00000198932	0.99	0.000403181
ENSG00000254254	-1.49	0.000405599
ENSG00000138615	-1.37	0.000405599
ENSG00000171456	-0.31	0.000405599
ENSG00000159216	-0.49	0.000407256
ENSG00000148908	0.62	0.000409461
ENSG00000185262	-0.9	0.00040959
ENSG00000122970	-0.55	0.000419343
ENSG00000105281	-0.41	0.000419538
ENSG00000162944	0.82	0.000425121
ENSG00000153443	-0.64	0.000430341
ENSG00000103404	-0.54	0.000434446
ENSG00000161682	0.93	0.000434446
ENSG00000184009	-0.61	0.000434446
ENSG00000131437	0.61	0.000435188
ENSG00000224531	-0.58	0.000435188
ENSG00000154217	-0.89	0.000435624
ENSG00000100302	1.95	0.000441027
ENSG00000179862	-1.45	0.000446912
ENSG00000249364	-5.14	0.000448538
ENSG00000102385	1.07	0.000448538
ENSG00000164619	1.47	0.000449376
ENSG00000163812	-0.5	0.000452891
ENSG00000138686	-0.48	0.000452891
ENSG00000132518	-5.61	0.000469608
ENSG00000100906	-0.82	0.000471521
ENSG00000145604	-0.93	0.000473574
ENSG00000168214	0.66	0.000480506
ENSG00000247746	0.97	0.000490658
ENSG00000166347	-0.59	0.000493694
ENSG00000112078	-0.58	0.000493798
ENSG00000138802	-0.49	0.00049396
ENSG00000139793	-0.52	0.000500824
ENSG00000168792	-0.67	0.000507371
ENSG00000114850	-0.4	0.000507374
ENSG00000178764	0.66	0.000511502
ENSG00000183496	1.63	0.000511502
ENSG00000168811	1.95	0.000511673
ENSG00000172260	-1.47	0.000515712
ENSG00000119673	-0.71	0.000518803
ENSG00000169410	-0.39	0.000519295
ENSG00000151065	0.49	0.000519567
ENSG00000064393	-0.6	0.000522459
ENSG00000171604	0.58	0.00052285
ENSG00000123685	-1.93	0.000524801
ENSG00000175741	-1.23	0.000536117
ENSG00000118454	-0.34	0.00054115
ENSG00000034713	-0.37	0.000545045
ENSG00000135503	-0.33	0.000545419
ENSG00000203727	1.06	0.000546225
ENSG00000117122	0.65	0.000547134
ENSG00000175489	3.23	0.000551297
ENSG00000109736	-0.5	0.000551752
ENSG00000206190	-1.29	0.00055736
ENSG00000171819	-5.79	0.000559977
ENSG00000107731	1.03	0.000563641
ENSG00000133816	-1.12	0.000565402
ENSG00000102780	-0.79	0.000565538
ENSG00000138135	1.56	0.000566721
ENSG00000079432	0.46	0.000571866
ENSG00000164237	0.88	0.000578369
ENSG00000132740	-0.6	0.00058106
ENSG00000126458	-0.58	0.000587287
ENSG00000224945	-0.86	0.000589926
ENSG00000188916	-2.5	0.000590239
ENSG00000113552	0.58	0.00060323
ENSG00000140455	0.49	0.000605795
ENSG00000035115	0.47	0.000606102
ENSG00000165195	-0.89	0.000619463
ENSG00000197771	-0.45	0.000619631
ENSG00000185344	-0.48	0.000621866
ENSG00000121753	0.66	0.000626146
ENSG00000011478	-0.68	0.000626146
ENSG00000221829	0.91	0.000626916
ENSG00000171509	1.92	0.000632364
ENSG00000114650	-0.35	0.000633093
ENSG00000107929	-0.6	0.00064863
ENSG00000118503	-0.56	0.000648932
ENSG00000104388	-0.42	0.00067836
ENSG00000163879	0.51	0.000694419
ENSG00000070388	-2.55	0.000694419
ENSG00000145632	1.03	0.000698741
ENSG00000184898	0.7	0.000702336
ENSG00000185112	-1.24	0.000702336
ENSG00000198521	0.57	0.000703026
ENSG00000126860	1.5	0.000707128
ENSG00000153904	-1.29	0.000715749
ENSG00000135090	-0.37	0.000717094
ENSG00000132646	0.65	0.000717094
ENSG00000196810	0.46	0.000717462
ENSG00000204371	0.5	0.000718607
ENSG00000175946	-1.05	0.000724007
ENSG00000135926	-0.54	0.00072774
ENSG00000060138	-0.5	0.00072774
ENSG00000129566	-0.41	0.00072774
ENSG00000107796	-1.17	0.000727923
ENSG00000174944	-1.55	0.000729571
ENSG00000148400	0.77	0.000731223
ENSG00000011347	0.92	0.000736599
ENSG00000165644	-1.01	0.000740236
ENSG00000143761	-0.31	0.0007506
ENSG00000204576	0.55	0.000750807
ENSG00000183801	1	0.000750807
ENSG00000204366	0.89	0.000764438
ENSG00000134333	-0.92	0.000777483
ENSG00000038274	-0.52	0.000779708
ENSG00000157617	-1.13	0.000787362
ENSG00000156675	-1.49	0.000792884
ENSG00000104313	0.94	0.000793945
ENSG00000101255	1.11	0.000793945
ENSG00000170836	0.62	0.000812887
ENSG00000109685	0.35	0.000824246
ENSG00000185215	0.86	0.000832249
ENSG00000155269	2.39	0.000836045
ENSG00000272341	1.47	0.000848609
ENSG00000154319	-0.99	0.000848609
ENSG00000075391	-0.54	0.000852198
ENSG00000121210	0.6	0.000853723
ENSG00000125970	0.44	0.000853723
ENSG00000156050	0.76	0.000858229
ENSG00000182621	0.76	0.000858229
ENSG00000147459	-0.76	0.000861177
ENSG00000203709	-0.71	0.00086628
ENSG00000182836	-3.31	0.000869785
ENSG00000213462	0.59	0.000890042
ENSG00000065882	-0.57	0.000897279
ENSG00000104093	0.48	0.000897279
ENSG00000185551	-0.8	0.000901094
ENSG00000162998	-1.78	0.00090554
ENSG00000133121	-0.66	0.000906198
ENSG00000139436	-0.51	0.000906416
ENSG00000108387	-1.89	0.000906416
ENSG00000133103	0.58	0.000910008
ENSG00000080822	-0.5	0.000911377
ENSG00000121691	-0.78	0.000915794
ENSG00000012171	0.75	0.000916154
ENSG00000141867	-0.47	0.000925181
ENSG00000152642	-0.85	0.000935003
ENSG00000111371	-0.82	0.000936794
ENSG00000157483	-0.92	0.000938062
ENSG00000105855	0.47	0.00095224
ENSG00000187189	0.45	0.000956782
ENSG00000133789	-0.67	0.000961659
ENSG00000132589	-0.48	0.000963496
ENSG00000170776	-0.57	0.000965537
ENSG00000100099	0.36	0.000965537
ENSG00000213853	-0.72	0.000966262
ENSG00000025708	-1.27	0.000970047
ENSG00000096654	0.62	0.000972658
ENSG00000165637	-0.52	0.000972845
ENSG00000159842	0.46	0.000985888
ENSG00000227268	1.54	0.000997007
ENSG00000063169	-0.46	0.001001416
ENSG00000223401	-1.2	0.001010857
ENSG00000160097	1.75	0.001013987
ENSG00000074660	-1.35	0.001017473
ENSG00000148926	-0.66	0.001041851
ENSG00000118707	0.59	0.001071659
ENSG00000146409	0.74	0.001099674
ENSG00000145911	1.38	0.001109704
ENSG00000250899	-1.04	0.00111226
ENSG00000133401	-1.27	0.001130725
ENSG00000145431	0.74	0.001133044
ENSG00000198046	0.67	0.001135179
ENSG00000280832	0.82	0.001144725
ENSG00000144036	0.32	0.001152988
ENSG00000144747	-0.32	0.001153562
ENSG00000129128	-0.77	0.001153562
ENSG00000142864	-0.44	0.001174805
ENSG00000103257	1.18	0.001187838
ENSG00000072163	-1.3	0.001203678
ENSG00000128045	-4.03	0.001208696
ENSG00000185252	0.81	0.001208696
ENSG00000117868	-0.55	0.001210956
ENSG00000182704	-0.96	0.001211251
ENSG00000154813	-0.47	0.001218076
ENSG00000002834	-0.4	0.001218076
ENSG00000204262	-0.37	0.001218424
ENSG00000145569	-2.6	0.001219665
ENSG00000139687	-0.32	0.001223304
ENSG00000066697	0.61	0.001230413
ENSG00000174238	-0.38	0.001241231
ENSG00000204160	-0.37	0.001242011
ENSG00000126803	-2.56	0.001244492
ENSG00000144136	0.5	0.001259039
ENSG00000112062	-0.3	0.001266661
ENSG00000162341	-0.6	0.001266661
ENSG00000093183	-0.54	0.001272329
ENSG00000090376	-0.96	0.001272329
ENSG00000100320	0.35	0.001273356
ENSG00000116128	0.54	0.00127777
ENSG00000183454	4.29	0.001280425
ENSG00000148339	-0.45	0.00128651
ENSG00000130227	0.43	0.001298603
ENSG00000151893	-0.64	0.001298603
ENSG00000197381	-2.32	0.001310147
ENSG00000172738	1.75	0.001312445
ENSG00000103710	1.03	0.001329603
ENSG00000130517	0.55	0.001329603
ENSG00000106123	-1.33	0.001331532
ENSG00000099365	0.68	0.001333638
ENSG00000112276	-0.56	0.001352275
ENSG00000103111	-0.4	0.001358559
ENSG00000064652	-0.56	0.001361654
ENSG00000196159	-0.43	0.001364898
ENSG00000145390	-2.31	0.001368442
ENSG00000142279	-0.62	0.001368442
ENSG00000114209	-0.42	0.001369452
ENSG00000183876	1.65	0.001369452
ENSG00000055163	1	0.00137604
ENSG00000149257	0.67	0.001387263
ENSG00000136270	-0.51	0.001393978
ENSG00000028277	2.02	0.001404855
ENSG00000155508	-0.61	0.00140672
ENSG00000148219	0.81	0.001408716
ENSG00000138032	-0.79	0.001419867
ENSG00000150938	-1.06	0.001431757
ENSG00000138311	1.02	0.001449819
ENSG00000034152	-0.84	0.001462201
ENSG00000198890	0.55	0.001481233
ENSG00000153879	0.62	0.001487392
ENSG00000070610	-0.44	0.001488097
ENSG00000119523	-0.38	0.00150359
ENSG00000158467	0.72	0.001504898
ENSG00000126785	1.18	0.001510166
ENSG00000150594	2.37	0.001521749
ENSG00000048707	-0.65	0.001525553
ENSG00000171155	-0.53	0.001531241
ENSG00000168918	2.03	0.001533328
ENSG00000106211	-0.47	0.001533328
ENSG00000080815	-0.52	0.001533328
ENSG00000140564	-0.5	0.001538109
ENSG00000203685	-2.97	0.001567175
ENSG00000117280	-0.53	0.001576468
ENSG00000100600	-0.49	0.001577846
ENSG00000272841	2.05	0.001591987
ENSG00000102547	-0.54	0.001598622
ENSG00000223949	1.79	0.001610986
ENSG00000171033	1.33	0.001615312
ENSG00000134508	-0.84	0.001615863
ENSG00000104695	-0.57	0.001619115
ENSG00000213626	-1.45	0.001623451
ENSG00000114861	0.32	0.001624695
ENSG00000279649	-1.22	0.001624695
ENSG00000184743	-0.78	0.001630453
ENSG00000164985	0.46	0.00163066
ENSG00000197879	-0.53	0.001634109
ENSG00000108797	0.61	0.001634109
ENSG00000035681	0.34	0.001636508
ENSG00000168884	-0.51	0.001649494
ENSG00000109674	1.36	0.001649494
ENSG00000198668	-0.43	0.001677957
ENSG00000223764	1.72	0.001704923
ENSG00000246705	-0.88	0.00171273
ENSG00000259583	1.08	0.001736494
ENSG00000075975	-0.5	0.001739906
ENSG00000138385	-0.82	0.00174377
ENSG00000185532	0.52	0.00174377
ENSG00000122863	-0.85	0.001744245
ENSG00000117592	-0.43	0.00175176
ENSG00000137124	-1.01	0.001764512
ENSG00000125675	0.71	0.001764512
ENSG00000111206	0.67	0.001779714
ENSG00000213516	-0.56	0.001795848
ENSG00000168502	0.36	0.001817698
ENSG00000260802	-5.48	0.001827782
ENSG00000130592	3.14	0.001854176
ENSG00000178662	1.24	0.001859425
ENSG00000167106	0.92	0.001866828
ENSG00000149591	-1.32	0.001898433
ENSG00000088325	0.83	0.00190982
ENSG00000142002	-0.43	0.001942851
ENSG00000111684	-0.53	0.001945544
ENSG00000196924	-0.58	0.001960878
ENSG00000081320	-1.11	0.001965585
ENSG00000205302	0.35	0.001967466
ENSG00000135241	-0.54	0.00199293
ENSG00000073111	0.68	0.001993983
ENSG00000180957	-0.33	0.001999642
ENSG00000171824	-0.68	0.00200731
ENSG00000173418	-0.48	0.00200731
ENSG00000224468	-1.1	0.002018078
ENSG00000228526	0.6	0.002020352
ENSG00000138483	-3.5	0.002020352
ENSG00000196116	-0.47	0.002021384
ENSG00000282057	-1.64	0.002024791
ENSG00000101782	-0.54	0.002026835
ENSG00000177054	-0.58	0.002033226
ENSG00000183688	-0.78	0.002039067
ENSG00000152990	0.82	0.002061158
ENSG00000188501	2.92	0.002061158
ENSG00000108828	0.61	0.002061158
ENSG00000130635	0.57	0.002094459
ENSG00000226200	0.96	0.002094459
ENSG00000185338	1.15	0.002094459
ENSG00000172301	0.54	0.002094459
ENSG00000198121	-0.49	0.002108784
ENSG00000115828	-1.14	0.002112095
ENSG00000174695	-0.36	0.002150217
ENSG00000204406	0.42	0.002168985
ENSG00000259426	-1.65	0.002168985
ENSG00000137273	0.74	0.002169744
ENSG00000135272	-0.41	0.002189406
ENSG00000196305	0.64	0.002189406
ENSG00000224080	-2.32	0.002190205
ENSG00000187239	-0.84	0.002196767
ENSG00000101150	-0.3	0.002197381
ENSG00000157601	0.98	0.002197381
ENSG00000070081	0.45	0.002202465
ENSG00000102218	-0.52	0.002202465
ENSG00000175471	-1.76	0.002220728
ENSG00000260230	1.1	0.002220728
ENSG00000184517	0.5	0.002224682
ENSG00000105993	-0.37	0.002229366
ENSG00000135596	-0.44	0.00223435
ENSG00000132376	-0.52	0.002250705
ENSG00000100014	-0.49	0.002264032
ENSG00000144233	-0.34	0.002302104
ENSG00000273604	-1.05	0.0023124
ENSG00000271254	0.85	0.0023124
ENSG00000117500	-0.41	0.002315857
ENSG00000182551	-0.55	0.002315857
ENSG00000106462	0.93	0.002315857
ENSG00000161921	0.8	0.002315857
ENSG00000203965	0.64	0.002316555
ENSG00000145016	-0.43	0.002316555
ENSG00000006025	0.95	0.002348746
ENSG00000067167	-0.66	0.002363509
ENSG00000135541	0.49	0.002377303
ENSG00000077585	-0.55	0.002391841
ENSG00000137673	-5.15	0.002391841
ENSG00000071564	0.46	0.002401945
ENSG00000165675	-0.54	0.00242363
